,Pekerjaan,Skill
122,Dental Assistant,"Asisten Dokter Gigi, Sterilisasi Alat, Pemahaman Prosedur Kedokteran Gigi, Keterampilan Komunikasi Pasien, Administrasi Kantor, Pengelolaan Persediaan"
123,Insurance Agent,"Penjualan Asuransi, Keterampilan Komunikasi, Pengetahuan Produk Asuransi, Manajemen Hubungan Pelanggan, Analisis Kebutuhan Asuransi, Pemasaran, Strategi Penjualan"
124,Registered Nurse,"Asuhan Pasien, Observasi Klinis, Pemahaman Kebutuhan Medis, Komunikasi Pasien, Penyuluhan Kesehatan, Keterampilan Kolaborasi Tim Medis"
125,Pharmaceutical Sales Representative,"Penjualan Farmasi, Pengetahuan Produk, Keterampilan Komunikasi, Penelitian Pasar, Analisis Persaingan, Manajemen Hubungan Pelanggan"
126,Supply Chain Analyst,"Analisis Rantai Pasokan, Pengolahan Data, Pemodelan Matematis, Perencanaan Produksi, Pengembangan Strategi Rantai Pasokan, Manajemen Inventaris"
127,Financial Advisor,"Perencanaan Keuangan, Investasi, Pajak, Manajemen Portofolio, Keterampilan Presentasi Keuangan, Pemahaman Pasar Keuangan"
128,Social Media Manager,"Manajemen Media Sosial, Kreativitas, Analisis Data, Keterampilan Komunikasi, Rencana Konten, Pengembangan Branding"
129,Civil Engineer,"Teknik Sipil, Pemodelan Struktural, Pengelolaan Proyek, Pemahaman Kode Bangunan, Desain Drainase, Analisis Tanah"
130,Dental Hygienist,"Kebersihan Gigi, Keterampilan Komunikasi Pasien, Evaluasi Gigi, Pekerjaan Klinis, Manajemen Jangka Panjang Perawatan, Keterampilan Edukasi Pasien"
131,Laboratory Technician,"Pemahaman Laboratorium, Pemrosesan Sampel, Keterampilan Teknis, Penggunaan Alat Laboratorium, Keselamatan, Kebersihan, Analisis Data"
132,Supply Chain Manager,"Manajemen Rantai Pasokan, Strategi Logistik, Pengelolaan Persediaan, Hubungan Pemasok, Analisis Kinerja Rantai Pasokan, Keterampilan Negosiasi"
